1, 还是要好好学习啊 , 雪伦 , 哈尔滨工业大学 ,223.42, 2015-07-15 
2, 你猜宇宙有几维？ , eleven-dimension 、大数据有多大 、小豆子 , 北京邮电大学 ,221.06, 2015-07-15 
3, ShenYangHot , TreeNewBee 、yude , 天津大学 ,219.68, 2015-07-15 
4, 海南芒果 , Mammoth 、大苹果 , 华中科技大学 ,219.63, 2015-07-13 
5, Lucky Loser , Shadow1992 、ZakiW 、freeshire , 南京航空航天大学 ,219.25, 2015-07-15 
6, 樱园的玻尔兹曼机 , bigdataminer 、邪魅酷霸拽的花伦哥哥 、luke , 武汉大学 ,219.07, 2015-07-13 
7, come on yyy , 木木 、xzlycandy 、风轻 , 中国科学技术大学 ,219.02, 2015-07-15 
8, 博哥的小风车 , youknow 、vice顺子 , 北京邮电大学 ,217.76, 2015-07-12 
9, kabujinuo , kabujinuo , 香港科技大学 ,217.33, 2015-07-14 
10, zhangmcnic , zhangmcnic , 南通大学 ,217.33, 2015-07-15 
11, 天戲 , 大德瑪西亞子民 、夏季冥想 , 吉林大学 ,216.78, 2015-07-09 
12, 爱萝莉真是太好了 , LeeZz 、o_ochao 、老坛酸菜 , 北京理工大学 ,215.08, 2015-07-12 
13, JQKA , JQKA , 华中科技大学 ,214.67, 2015-07-15 
14, Sicily , KevinNing , 清华大学 ,214.03, 2015-07-12 
15, Second , DataEngineer , 同济大学 ,213.44, 2015-07-13 
16, 酸辣紫菜泡面 , Dataer , 北京邮电大学 ,212.84, 2015-07-10 
17, 吃货组 , 小吃货 、Dreamsoul , 杭州电子科技大学 ,211.98, 2015-07-15 
18, 四季豆 , Kobian 、CLIO , 北京邮电大学 ,211.32, 2015-07-12 
19, qqqqq , teldrassil 、PhillipHu 、疾风驰宇 , 东南大学 ,211.01, 2015-07-14 
20, scrapinghub , ddd , 其它-国防科学技术大学 ,210.89, 2015-07-15 
21, SmileLemon , lxcheng322 、河里的石头 、不吃柠檬 , 天津理工 ,210.74, 2015-07-15 
22, 三只熊 , 旋风小子 、大熊星座 、rocklee , 哈尔滨工业大学 ,210.57, 2015-07-09 
23, dy的荣耀 , dy的荣耀 , 中南大学 ,210.28, 2015-07-15 
24, NewType , 安麒 、Deborah , 广州视源电子科技股份有限公司 ,210.15, 2015-07-15 
25, chelseayuan , chelseayuan , 浙江大学 ,210.08, 2015-07-13 
26, Dimension of Curiosity , DOC 、小南瓜 、nishizhen , 北京航空航天大学 ,209.73, 2015-07-15 
27, AC哥哥 , AC哥哥 , 浙江大学 ,209.59, 2015-07-15 
28, 不要太在意名字 , 小胖子要减肥 、若尘 、Hi , 杭州电子科技大学 ,209.44, 2015-07-15 
29, 仗剑而歌 , 青衣持剑客 、shaha_2 、蕊 , 中山大学 ,209.08, 2015-07-15 
30, 黑风双煞 , wjrenwh 、wjcajhp , 北京邮电大学 ,208.89, 2015-07-10 
31, 蟹堡王 , 大星 , 哈尔滨工业大学 ,208.69, 2015-07-15 
32, BIT_STAT_PHD , k风 , 北京理工大学 ,208.3, 2015-07-14 
33, 古韵遗风 , 遗风点点 , 中国科学院 ,208.19, 2015-07-14 
34, 瞎扯淡 , 吖louis , 暨南大学 ,208.11, 2015-07-15 
35, 苏飞 , 苏飞 , 北京大学 ,208.08, 2015-07-15 
36, LogHorizon , LogHorizon , 电子科技大学 ,207.44, 2015-07-15 
37, 求带2015 , 白勺的 , 中南大学 ,207.27, 2015-07-15 
38, 香菜 , 我是香菜啦啦啦 , 兰州大学 ,207.25, 2015-07-15 
39, SixFish , 宝宝鱼 、sixgod 、Bruce_L , 中国科学院 ,206.94, 2015-07-14 
40, 背水1战 , Sunshine123 , 中国科学院 ,206.91, 2015-07-14 
41,0, 落日长庚 , 山东师范大学 ,206.81, 2015-07-14 
42, JideQian , Jide 、ReadMe 、CG , 中国科学院 ,206.77, 2015-07-15 
43, Thanos , Optimus 、cocoa 、St.Young , 中国科学院 ,206.71, 2015-07-15 
44, 金戈铁马 , 匹马戍梁州 , 南方医科大学 ,206.35, 2015-07-15 
45, 资深菜鸟 , kennyou 、慕》CS》岩 、chengzi , 桂林电子科技大学 ,206.19, 2015-07-15 
46, S.P.Q.R , Achilles 、MenGo 、Lucifer , 中国科学技术大学 ,206.18, 2015-07-13 
47, qianjiye.de , Jiye 、HeanJean 、Lancer , 重庆大学 ,205.8, 2015-07-13 
48, Resolution , F_eng 、realizing , 中国科学院 ,205.69, 2015-07-10 
49, 艺术大师 , 功夫小子 , 中国科学院 ,205.05, 2015-07-15 
50, fighting! , week , 无 ,204.91, 2015-07-09 
51, 信科19楼 , BRYAN 、phoebe 、浪灬飞 , 重庆邮电大学 ,204.87, 2015-07-13 
52, 锦瑟 , Josh 、锦瑟无端 , 中国科学院 ,204.75, 2015-07-13 
53, 小博士是傻逼2 , 萨尔多瓦特斯 , 阜阳师范 ,204.67, 2015-07-14 
54, FireBird , Monk , 北京大学 ,204.06, 2015-07-15 
55, 我是矮嘟 , 我是矮嘟 , 肇庆学院 ,203.89, 2015-07-15 
56, ZZZZZ , ZLAKE , 香港科技大学 ,203.79, 2015-07-15 
57, uestc_IE , KONG 、xushen 、Cccccute , 电子科技大学 ,203.64, 2015-07-15 
58, seu推土机 , 爱吃青蛙的蟾蜍 、小甜甜 、紫月小米 , 东南大学 ,203.43, 2015-07-15 
59, 燃辉 , 燃辉 , 北京大学 ,203.28, 2015-07-15 
60, USTC_2015 , 雪中漫步 , 中国科学技术大学 ,203.12, 2015-07-13 
61, 花样姐姐 , 不点 、游弋的蔷薇 、守望者 , 北京邮电大学 ,202.97, 2015-07-14 
62, 我是只小小小菜鸟 , 逝水无痕114 , 电子科技大学 ,202.87, 2015-07-14 
63, J , Jackie 、绿皮火车 , 桂林电子科技大学 ,202.61, 2015-07-07 
64, 飞猪 , 飞猪 , 南京航空航天大学 ,202.57, 2015-07-05 
65, 以上成绩作废 , tianchidasai , 电子科技大学 ,202.42, 2015-07-15 
66, 歩留行 , 歩留行 , 中国科学院 ,202.22, 2015-07-15 
67, CACNTAP , CACNTAP , 华中农大 ,202.2, 2015-07-14 
68, 小伙子们你们很吊呀 , Liberty , 东南大学 ,202.18, 2015-07-15 
69, zhcgb , chengzidepp , 云南农大 ,202.13, 2015-07-09 
70, two_little_pigs , carrie , 同济大学 ,201.91, 2015-07-14 
71, 不知道叫什么名字 , 讨厌的周末 , 清华大学 ,201.8, 2015-07-14 
72, Nova Heart , Beautiful Boys 、天池aaa , 浙江大学 ,201.5, 2015-07-13 
73, stackoverflow , Nothrow 、freedom 、SegmentFault , 杭州电子科技大学 ,201.04, 2015-07-15 
74, AGE , SSSSQD 、东方 , 南京航空航天大学 ,201.02, 2015-07-15 
75, 小芒果 , Swen , 北京航空航天大学 ,200.88, 2015-07-11 
76, datahacker , 金陵书生 、笨笨2 , 南京邮电大学 ,200.82, 2015-07-11 
77, 数学必胜 , orzsql , 吉林大学 ,200.81, 2015-07-15 
78, 桐花雨 , 枫言风语 、喜欢猫猫的鱼 、桐花 , 北京邮电大学 ,200.8, 2015-07-15 
79, Tea , 方硕 , 华南理工大学 ,200.55, 2015-07-15 
80, 百安星辰 , 百安星辰 , 其它-国防科学技术大学 ,200.44, 2015-07-15 
81, ATE-NCR , 飞逸 、tt 、xchen , 北京航空航天大学 ,200.33, 2015-07-15 
82, pcgogogo , pcgogogo , 同济大学 ,199.94, 2015-07-13 
83, 我蛤依旧笑春风 , littlehorsebrother , 南京理工 ,199.76, 2015-07-15 
84, 自扰氏 , ziraoshi , 中国科学技术大学 ,199.71, 2015-07-15 
85, runningteam , 会长 、竹韵潇潇 、monologue , 东南大学 ,199.68, 2015-07-03 
86, 阳梦沙笔 , ym_xhh 、梓桐 、ZRLB , 重庆邮电大学 ,199.58, 2015-07-15 
87, 每天早起吃早餐 , forest , 哈尔滨工业大学 ,199.35, 2015-07-03 
88, stephanieleong , Andos 、Stephanie 、kangkona , 中国科学技术大学 ,199.32, 2015-07-03 
89, 快乐的小金牛 , yhdlala , 西安电子科技大学 ,199.27, 2015-07-12 
90, 2加2 , 2加2 , 西安电子科技大学 ,199.18, 2015-07-14 
91, 静水流深123 , 静水流深 , 广西师范大学 ,198.8, 2015-07-15 
92, Big Dipper , johnsenxu 、闪电电电 、itudou , 北京邮电大学 ,198.64, 2015-07-11 
93, 不要怕！是技术性调整！不要怕！ , 城寒 、SIDIG 、pklfz , 北京邮电大学 ,198.48, 2015-07-14 
94, Abner_kaho , abner_Young 、kaho 、sysu_xf , 中山大学 ,198.37, 2015-07-12 
95, 暗海风 , 暗海风 , 北京理工大学 ,198.37, 2015-07-13 
96, 长得帅，死得快 , Mr su_苏 , 武汉理工 ,198.29, 2015-07-15 
97, 啦啦啦小队 , ItsCaRRot 、Ada Xu , Overseas-香港城市大学 ,198.28, 2015-07-14 
98, 第二赛季接着干 , 快乐人生 , 西安电子科技大学 ,198.23, 2015-07-15 
99, 1/inf , 大邪神 、inf , 北京邮电大学 ,198.1, 2015-07-13 
100, 华哥爱食chocolate , 华哥爱食chocolate , 广东药学院 ,198.09, 2015-07-15 
101, sibschen , chenquncuocuo , 中国科学院上海生命科学研究院 ,198.08, 2015-07-13 
102, ustcsjc , aganlengzi , 中国科学技术大学 ,198.05, 2015-07-13 
103, 东方不败 , 独孤求败+西门春雪 、YiranX , 杭州电子科技大学 ,198.01, 2015-07-15 
104, 娃姐俾只青蛙捉住啦 , 华华 , 哈尔滨工业大学 ,197.84, 2015-07-09 
105, 野驴飞翔 , adamzhao 、Coder_bin 、lxin , 哈尔滨工业大学 ,197.63, 2015-07-14 
106, 这个团队的名字叫 , miracle 、EvanChen , 上海交通大学 ,197.59, 2015-07-09 
107, Day Dream , 任成磊 、卡卡 、sololament , 华东师大 ,197.55, 2015-07-15 
108, 小菜鸟00 , 小菜鸟 , 山东大学 ,197.53, 2015-07-14 
109, 命悬一线 , csguru 、橡皮乱飞 、XinGe , Overseas-Univer... ,197.4, 2015-07-10 
110, ZJUer_不惧风雨 , marnuster 、舒小雨 , 浙江大学 ,197.4, 2015-07-15 
111, day day up , Victor锋 、xqqzxy , 中国科学院 ,197.38, 2015-07-14 
112, 天池蜗牛 , 乔木006 、广州Abel , 广东工业大学 ,197.25, 2015-07-07 
113, G&C , GETH 、alei 、flyyang , 中国科学技术大学 ,197.16, 2015-07-15 
114, LoveMango , fmr1011 , 浙江大学 ,197.1, 2015-07-15 
115, 第二天战队 , 第二天 , 兰州大学 ,196.79, 2015-07-15 
116,15521, ldengjie , 中国科学技术大学 ,196.62, 2015-07-15 
117, 后来 , 关公风月 , 华南理工大学 ,196.61, 2015-07-15 
118, guowei , guowei000 , 江南大学 ,196.35, 2015-07-15 
119, 颤抖吧，人类！ , 乡村别墅 , 安徽工业大学 ,196.33, 2015-07-12 
120, 大磊哥 , 丁婕 , 华东师大 ,196.23, 2015-07-15 
121, 加油！！！ , lixianhappy , 浙江大学 ,196.09, 2015-07-15 
122, Suicide , johnwin , 浙江大学 ,196.05, 2015-07-15 
123, hustermath , 石头天明 、小小鸭子 、francescray , 华中科技大学 ,195.88, 2015-07-15 
124, Duang~Duang , Duang~Duang , 华中科技大学 ,195.78, 2015-07-11 
125, 北冰洋 , 北极熊 , 北京邮电大学 ,195.69, 2015-07-10 
126, 电光火石 , ghost 、喻天 、湘笑 , 西南交大 ,195.55, 2015-07-12 
127, </Scorpion> , ReLoad 、gpy531 、龙前尘 , 东南大学 ,195.35, 2015-07-13 
128, 和气 , 呆呆11 、樱四 、Miss Bear , 南邮 ,195.34, 2015-07-15 
129, 流光果冻 , 流光果冻 , 其它-扭曲丛林大学 ,195.15, 2015-07-13 
130, super() , super() , 上海交通大学 ,195.14, 2015-07-15 
131, 江 , 画船听雨眠 , 电子科技大学 ,195.05, 2015-07-14 
132, RunPage , lemondy 、jasper 、Wanye , 北京理工大学 ,194.99, 2015-07-12 
133, little ant , Karajan , 南京大学 ,194.75, 2015-07-11 
134, Lakeside of Baikal , 潜卧终南 , 西安电子科技大学 ,194.74, 2015-07-06 
135, Richard_Team , Richard小号 , 南京大学 ,194.64, 2015-07-15 
136, ThreeFour , 六楼拐角处 , 西安电子科技大学 ,194.6, 2015-07-15 
137, SeaSide , 无影随想 、bbp , 浙江大学 ,194.56, 2015-07-15 
138, 小蚂蚁 , 把时间当做朋友 、bicelove 、小杰 , 浙江工商 ,194.37, 2015-07-10 
139, 帝都仰望星空大学 , DesTiny 、tlaw 、h2597650 , 中国科学院 ,194.22, 2015-07-09 
140, 牛刀小试 , alexwolf 、HumoLudens 、了了 , 兰州大学 ,194.1, 2015-07-12 
141, Jane , Jane , 浙江大学 ,193.94, 2015-07-14 
142, Turing , wchh9006 、梅子 、Unlearn , 浙江大学 ,193.94, 2015-07-10 
143, sauce buyer , windpls 、dami , 浙江大学 ,193.92, 2015-07-09 
144, 梵高先生 , asong 、jaycicle 、phoenixwu0229 , 西安交通大学 ,193.81, 2015-07-12 
145, CHLL , JingCh , 中国科学技术大学 ,193.56, 2015-07-11 
146, 小绿叶 , 小绿叶 , 上海交通大学 ,193.25, 2015-07-15 
147, Dandelion , 释然 、刀客白白 , 西安电子科技大学 ,193.22, 2015-07-12 
