1 , ZJUer_不惧风雨 , Geoffrey 、舒小雨 , 浙江大学 , 217.53 , 2015-07-20 
2 , 四季豆 , Kobian 、CLIO , 北京邮电大学 , 211.88 , 2015-07-20 
3 , 还是要好好学习啊 , 雪伦 , 哈尔滨工业大学 , 211.47 , 2015-07-20 
4 , JQKA , JQKA , 华中科技大学 , 208.35 , 2015-07-20 
5 , 你猜宇宙有几维？ , eleven-dimension 、大数据有多大 、小豆子 , 北京邮电大学 , 208.15 , 2015-07-20 
6 , chelseayuan , chelseayuan , 浙江大学 , 207.52 , 2015-07-20 
7 , 天戲 , 大德瑪西亞子民 、夏季冥想 , 吉林大学 , 207.50 , 2015-07-20 
8 , Sicily , KevinNing , 清华大学 , 205.81 , 2015-07-20 
9 , scrapinghub , ddd , 其它-国防科学技术大学 , 204.85 , 2015-07-20 
10 , Second , DataEngineer , 同济大学 , 204.72 , 2015-07-20 
11 , fighting! , week , 无 , 203.50 , 2015-07-20 
12 , 颤抖吧，人类！ , 乡村别墅 , 安徽工业大学 , 202.75 , 2015-07-20 
13 , 数学必胜 , orzsql , 吉林大学 , 201.48 , 2015-07-20 
14 , 求带2015 , 白勺的 , 中南大学 , 200.79 , 2015-07-20 
15 , Day Dream , 任成磊 、卡卡 、sololament , 华东师大 , 199.51 , 2015-07-20 
16 , 吃货组 , 小吃货 、Dreamsoul , 杭州电子科技大学 , 199.03 , 2015-07-20 
17 , 野驴飞翔 , adamzhao 、Coder_bin 、lxin , 哈尔滨工业大学 , 197.82 , 2015-07-20 
18 , 长得帅，死得快 , Mr su_苏 , 武汉理工 , 197.78 , 2015-07-20 
19 , AC哥哥 , AC哥哥 , 浙江大学 , 197.53 , 2015-07-20 
20 , SmileLemon , lxcheng322 、河里的石头 、不吃柠檬 , 天津理工 , 197.48 , 2015-07-20 
21 , 不知道叫什么名字 , 讨厌的周末 , 清华大学 , 197.06 , 2015-07-20 
22 , 天池蜗牛 , 乔木006 、广州Abel , 广东工业大学 , 196.84 , 2015-07-20 
23 , 苏飞 , 苏飞 , 北京大学 , 196.58 , 2015-07-20 
24 , Abner_kaho , abner_Young 、kaho 、sysu_xf , 中山大学 , 196.38 , 2015-07-20 
25 , 三只熊 , 旋风小子 、大熊星座 、rocklee , 哈尔滨工业大学 , 196.32 , 2015-07-20 
26 , 信科19楼 , BRYAN 、phoebe 、浪灬飞 , 重庆邮电大学 , 195.92 , 2015-07-20 
27 , 大磊哥 , 丁婕 , 华东师大 , 195.60 , 2015-07-20 
28 , come on yyy , 木木 、xzlycandy 、风轻 , 中国科学技术大学 , 195.25 , 2015-07-20 
29 , 锦瑟 , Josh 、锦瑟无端 , 中国科学院 , 195.10 , 2015-07-20 
30 , 不要怕！是技术性调整！不要怕！ , 城寒 、SIDIG 、pklfz , 北京邮电大学 , 194.48 , 2015-07-20 
31 , 我是只小小小菜鸟 , 逝水无痕114 , 电子科技大学 , 194.33 , 2015-07-20 
32 , J , Jackie 、绿皮火车 , 桂林电子科技大学 , 193.56 , 2015-07-20 
33 , 花样姐姐 , 不点 、游弋的蔷薇 、守望者 , 北京邮电大学 , 193.42 , 2015-07-20 
34 , 凑热闹 , 凑热闹 , 中国科学院 , 193.42 , 2015-07-20 
35 , 15521 , ldengjie , 中国科学技术大学 , 193.37 , 2015-07-20 
36 , LoveMango , fmr1011 , 浙江大学 , 193.32 , 2015-07-20 
37 , NewType , 安麒 、Deborah , 广州视源电子科技股份有限公司 , 193.21 , 2015-07-20 
38 , ZZZZZ , ZLAKE , 香港科技大学 , 193.19 , 2015-07-20 
39 , 背水1战 , Sunshine123 , 中国科学院 , 193.01 , 2015-07-20 
40 , 仗剑而歌 , 青衣持剑客 、shaha_2 、蕊 , 中山大学 , 192.90 , 2015-07-20 
41 , wow , qet2211pm 、派派 , 诺丁汉大学 , 192.82 , 2015-07-20 
42 , 桐花雨 , 枫言风语 、喜欢猫猫的鱼 、桐花 , 北京邮电大学 , 192.64 , 2015-07-20 
43 , SixFish , 宝宝鱼 、sixgod 、Bruce_L , 中国科学院 , 192.52 , 2015-07-20 
44 , 2216 , Ning Yin 、dada579 、张大列 , 北京大学 , 192.21 , 2015-07-20 
45 , 取名字好难 , eeriee 、Jenny , 香港城市大学 , 192.12 , 2015-07-20 
46 , 瞎扯淡 , 吖louis , 暨南大学 , 192.07 , 2015-07-20 
47 , 每天早起吃早餐 , forest , 哈尔滨工业大学 , 191.65 , 2015-07-20 
48 , kabujinuo , kabujinuo , 香港科技大学 , 191.37 , 2015-07-20 
49 , mangolzy , mangolzy , 浙江大学 , 191.22 , 2015-07-20 
50 , 么么哒哒 , 萌妹子 , 哈尔滨工业大学 , 191.16 , 2015-07-20 
51 , Dimension of Curiosity , DOC 、小南瓜 、nishizhen , 北京航空航天大学 , 190.99 , 2015-07-20 
52 , 燃辉 , 燃辉 , 北京大学 , 190.64 , 2015-07-20 
53 , two_little_pigs , carrie , 同济大学 , 190.52 , 2015-07-20 
54 , 这个团队的名字叫 , miracle 、EvanChen , 上海交通大学 , 190.41 , 2015-07-20 
55 , Thanos , Optimus 、cocoa 、St.Young , 中国科学院 , 189.55 , 2015-07-20 
56 , 东方不败 , 独孤求败+西门春雪 、YiranX , 杭州电子科技大学 , 189.38 , 2015-07-20 
57 , seu推土机 , 爱吃青蛙的蟾蜍 、小甜甜 、紫月小米 , 东南大学 , 189.35 , 2015-07-20 
58 , 歩留行 , 歩留行 , 中国科学院 , 189.33 , 2015-07-20 
59 , 爱萝莉真是太好了 , LeeZz 、o_ochao 、老坛酸菜 , 北京理工大学 , 188.77 , 2015-07-20 
60 , Diesel , Diesel , 天津大学 , 188.73 , 2015-07-20 
61 , 小博士是傻逼2 , 萨尔多瓦特斯 , 阜阳师范 , 188.69 , 2015-07-20 
62 , Resolution , F_eng 、realizing , 中国科学院 , 188.56 , 2015-07-20 
63 , qqqqq , teldrassil 、PhillipHu 、疾风驰宇 , 东南大学 , 188.32 , 2015-07-20 
64 , 阳梦沙笔 , ym_xhh 、梓桐 、ZRLB , 重庆邮电大学 , 188.30 , 2015-07-20 
65 , 博哥的小风车 , youknow 、vice顺子 , 北京邮电大学 , 188.05 , 2015-07-20 
66 , AI_UI_1 , Ahmadreza 、Shiva 、Payam , Overseas-Univer... , 187.93 , 2015-07-20 
67 , 金戈铁马 , 匹马戍梁州 , 南方医科大学 , 187.66 , 2015-07-20 
68 , mikuFans , sweetacg , 东南大学 , 187.65 , 2015-07-20 
69 , 我蛤依旧笑春风 , littlehorsebrother , 南京理工 , 187.59 , 2015-07-20 
70 , qianjiye.de , Jiye 、HeanJean 、Lancer , 重庆大学 , 187.49 , 2015-07-20 
71 , 百安星辰 , 百安星辰 , 其它-国防科学技术大学 , 187.01 , 2015-07-20 
72 , Dandelion , 释然 、刀客白白 , 西安电子科技大学 , 186.83 , 2015-07-20 
73 , 毛坨 , zsuda001 , 北京大学 , 186.72 , 2015-07-20 
74 , 香菜 , 我是香菜啦啦啦 , 兰州大学 , 186.71 , 2015-07-20 
75 , 华哥爱食chocolate , 华哥爱食chocolate , 广东药学院 , 186.55 , 2015-07-20 
76 , ThreeFour , 六楼拐角处 , 西安电子科技大学 , 185.98 , 2015-07-20 
77 , SeaSide , 无影随想 、bbp , 浙江大学 , 185.73 , 2015-07-20 
78 , 大徒儿 , 师傅加油 , 西安电子科技大学 , 185.52 , 2015-07-20 
79 , S.P.Q.R , Achilles 、MenGo 、Lucifer , 中国科学技术大学 , 185.40 , 2015-07-20 
80 , RunPage , lemondy 、jasper 、Wanye , 北京理工大学 , 185.37 , 2015-07-20 
81 , 古韵遗风 , 遗风点点 , 中国科学院 , 185.21 , 2015-07-20 
82 , Richard_Team , Richard小号 , 南京大学 , 185.18 , 2015-07-20 
83 , 资深菜鸟 , kennyou 、慕》CS》岩 、chengzi , 桂林电子科技大学 , 185.13 , 2015-07-20 
84 , sibschen , chenquncuocuo , 中国科学院上海生命科学研究院 , 184.98 , 2015-07-20 
85 , 樱园的玻尔兹曼机 , bigdataminer 、邪魅酷霸拽的花伦哥哥 、luke , 武汉大学 , 184.94 , 2015-07-20 
86 , dataterminator , NUAAer 、xingye , 南京航空航天大学 , 184.90 , 2015-07-20 
87 , 静水流深123 , 静水流深 , 广西师范大学 , 184.88 , 2015-07-20 
87 , guowei , guowei000 , 江南大学 , 184.88 , 2015-07-20 
89 , Nova Heart , Beautiful Boys 、天池aaa , 浙江大学 , 184.45 , 2015-07-20 
90 , ShenYangHot , TreeNewBee 、yude , 天津大学 , 184.35 , 2015-07-20 
91 , BIT_STAT_PHD , k风 , 北京理工大学 , 184.32 , 2015-07-20 
92 , 小绿叶 , 小绿叶 , 上海交通大学 , 184.31 , 2015-07-20 
93 , </Scorpion> , ReLoad 、gpy531 、龙前尘 , 东南大学 , 183.97 , 2015-07-20 
94 , 小伙子们你们很吊呀 , Liberty , 东南大学 , 183.84 , 2015-07-20 
95 , 2加2 , 2加2 , 西安电子科技大学 , 183.84 , 2015-07-20 
96 , 快乐的小金牛 , yhdlala , 西安电子科技大学 , 183.76 , 2015-07-20 
97 , 蟹堡王 , 大星 , 哈尔滨工业大学 , 183.59 , 2015-07-20 
98 , 不要太在意名字 , 小胖子要减肥 、若尘 、Hi , 杭州电子科技大学 , 183.44 , 2015-07-20 
99 , 牛刀小试 , alexwolf 、HumoLudens 、了了 , 兰州大学 , 183.43 , 2015-07-20 
